[2023-03-22 11:03:10,991] INFO [Controller id=0 epoch=3] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2023-03-22 11:03:11,344] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,353] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,362] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,373] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,383] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,392] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,403] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,413] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,422] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,433] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,443] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,452] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,463] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,464] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,473] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,482] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,493] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,502] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,512] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,523] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-22 11:03:11,532] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(rXhlZw8QQ1iUbK9Va1lH0g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
